TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
10762,1076,1549,D,D,
10769,1076,1549,D,D,
10771,1077,1549,D,D,
10772,1077,1549,D,D,
10773,1077,1549,D,D,
10774,1077,1549,D,D,
10779,1077,1549,D,D,
10791,1079,1549,D,D,
10792,1079,1549,D,D,
10793,1079,1549,D,D,
10794,1079,1549,D,D,
10795,1079,1549,D,D,
10796,1079,1549,D,D,
10799,1079,1549,D,D,
11011,1101,1551,D,D,
11012,1101,1551,D,D,
20114,2011,1551,D,D,
,,1552,D,D,"delete TSIC=11021, LFS11=1102"
,,1552,D,D,"delete TSIC=11022, LFS11=1102"
,,1552,D,D,"delete TSIC=11022, LFS11=1102"
11030,1103,1553,D,D,
11041,1104,1554,D,D,
11042,1104,1554,D,D,
11043,1104,1554,D,D,
11044,1104,1554,D,D,
11049,1104,1554,D,D,
12001,1200,1600,D,D,
12002,1200,1600,D,D,
12009,1200,1600,D,D,
13111,1311,1711,D,D,
13112,1311,1711,D,D,
13113,1311,1711,D,D,
13121,1312,1711,D,D,
13122,1312,1711,D,D,
13129,1312,1711,D,D,
13131,1313,1712,D,D,
13132,1313,1712,D,D,
13139,1313,1712,D,D,
,,1712,D,D,"delete TSIC=95299, LFS11=9529"
13921,1392,1721,D,D,
13922,1392,1721,D,D,
13929,1392,1721,D,D,
32501,3250,1721,D,D,
33190,3319,1721,D,D,
13930,1393,1722,D,D,
13940,1394,1723,D,D,
33190,3319,1723,D,D,
13139,1313,1729,D,D,
13991,1399,1729,D,D,
13992,1399,1729,D,D,
13999,1399,1729,D,D,
17091,1709,1729,D,D,
13910,1391,1730,D,D,
14301,1430,1730,D,D,
14302,1430,1730,D,D,
13139,1313,1810,D,D,
14111,1411,1810,D,D,
14112,1411,1810,D,D,
14113,1411,1810,D,D,
14114,1411,1810,D,D,
14115,1411,1810,D,D,
14116,1411,1810,D,D,
14120,1412,1810,D,D,
14131,1413,1810,D,D,
14139,1413,1810,D,D,
32903,3290,1810,D,D,
14200,1420,1820,D,D,
15110,1511,1820,D,D,
15110,1511,1911,D,D,
15121,1512,1912,D,D,
15122,1512,1912,D,D,
15129,1512,1912,D,D,
32903,3290,1912,D,D,
15129,1512,1920,D,D,
15201,1520,1920,D,D,
15202,1520,1920,D,D,
15203,1520,1920,D,D,
15204,1520,1920,D,D,
15209,1520,1920,D,D,
16299,1629,1920,D,D,
22199,2219,1920,D,D,
22299,2229,1920,D,D,
32309,3230,1920,D,D,
16101,1610,2010,D,D,
16102,1610,2010,D,D,
16210,1621,2021,D,D,
16220,1622,2022,D,D,
16230,1623,2023,D,D,
33190,3319,2023,D,D,
16291,1629,2029,D,D,
16292,1629,2029,D,D,
16299,1629,2029,D,D,
32903,3290,2029,D,D,
33190,3319,2029,D,D,
17011,1701,2101,D,D,
17012,1701,2101,D,D,
17020,1702,2102,D,D,
17091,1709,2109,D,D,
17092,1709,2109,D,D,
17099,1709,2109,D,D,
18112,1811,2109,D,D,
22299,2229,2109,D,D,
32909,3290,2211,D,D,
59202,5920,2211,D,D,
58131,5813,2212,D,D,
58132,5813,2212,D,D,
58134,5813,2212,D,D,
59202,5920,2213,D,D,
59203,5920,2213,D,D,
58132,5813,2219,D,D,
58191,5819,2219,D,D,
58193,5819,2219,D,D,
17092,1709,2221,D,D,
18111,1811,2221,D,D,
18119,1811,2221,D,D,
58111,5811,2221,D,D,
58112,5811,2221,D,D,
58114,5811,2221,D,D,
58121,5812,2221,D,D,
18121,1812,2222,D,D,
18122,1812,2222,D,D,
18200,1820,2230,D,D,
19100,1910,2310,D,D,
19201,1920,2320,D,D,
19202,1920,2320,D,D,
